Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.17,4519
DatacenterBrokerSimple,1,0.17,4519
DatacenterBrokerSimple,2,0.17,4519
DatacenterBrokerSimple,3,0.17,4519
DatacenterBrokerSimple,4,0.17,4519
DatacenterBrokerSimple,5,0.17,4519
DatacenterBrokerPSO,0,0.51,1928
DatacenterBrokerPSO,1,0.11,1928
DatacenterBrokerPSO,2,0.02,1928
DatacenterBrokerPSO,3,0.12,1928
DatacenterBrokerPSO,4,0.17,1928
DatacenterBrokerPSO,5,0.07,1928
DatacenterBrokerHeuristic,0,0.17,4559
DatacenterBrokerHeuristic,1,0.17,4559
DatacenterBrokerHeuristic,2,0.13,4559
DatacenterBrokerHeuristic,3,0.17,4559
DatacenterBrokerHeuristic,4,0.15,4559
DatacenterBrokerHeuristic,5,0.21,4559
