Broker,VM ID,VM Load,Total Execution Time
DatacenterBrokerSimple,0,0.07,876
DatacenterBrokerSimple,1,0.07,876
DatacenterBrokerSimple,2,0.07,876
DatacenterBrokerSimple,3,0.07,876
DatacenterBrokerSimple,4,0.07,876
DatacenterBrokerSimple,5,0.07,876
DatacenterBrokerSimple,6,0.07,876
DatacenterBrokerSimple,7,0.07,876
DatacenterBrokerSimple,8,0.07,876
DatacenterBrokerSimple,9,0.07,876
DatacenterBrokerSimple,10,0.07,876
DatacenterBrokerSimple,11,0.07,876
DatacenterBrokerSimple,12,0.07,876
DatacenterBrokerSimple,13,0.07,876
DatacenterBrokerSimple,14,0.07,876
DatacenterBrokerPSO,0,0.15,535
DatacenterBrokerPSO,1,0.07,535
DatacenterBrokerPSO,2,0.01,535
DatacenterBrokerPSO,3,0.04,535
DatacenterBrokerPSO,4,0.09,535
DatacenterBrokerPSO,5,0.04,535
DatacenterBrokerPSO,6,0.06,535
DatacenterBrokerPSO,7,0.04,535
DatacenterBrokerPSO,8,0.04,535
DatacenterBrokerPSO,9,0.06,535
DatacenterBrokerPSO,10,0.07,535
DatacenterBrokerPSO,11,0.07,535
DatacenterBrokerPSO,12,0.06,535
DatacenterBrokerPSO,13,0.05,535
DatacenterBrokerPSO,14,0.14,535
DatacenterBrokerHeuristic,0,0.07,771
DatacenterBrokerHeuristic,1,0.04,771
DatacenterBrokerHeuristic,2,0.07,771
DatacenterBrokerHeuristic,3,0.1,771
DatacenterBrokerHeuristic,4,0.09,771
DatacenterBrokerHeuristic,5,0.05,771
DatacenterBrokerHeuristic,6,0.07,771
DatacenterBrokerHeuristic,7,0.04,771
DatacenterBrokerHeuristic,8,0.07,771
DatacenterBrokerHeuristic,9,0.07,771
DatacenterBrokerHeuristic,10,0.06,771
DatacenterBrokerHeuristic,11,0.08,771
DatacenterBrokerHeuristic,12,0.08,771
DatacenterBrokerHeuristic,13,0.09,771
DatacenterBrokerHeuristic,14,0.04,771
