Broker,Cloudlet ID,VM ID,Execution Time,Start Time,Finish Time
DatacenterBrokerSimple,21,6,17,0,17
DatacenterBrokerSimple,53,8,17,0,17
DatacenterBrokerSimple,8,8,17,0,17
DatacenterBrokerSimple,75,0,21,0,21
DatacenterBrokerSimple,11,11,23,0,23
DatacenterBrokerSimple,14,14,24,0,24
DatacenterBrokerSimple,2,2,24,0,24
DatacenterBrokerSimple,86,11,24,0,24
DatacenterBrokerSimple,41,11,24,0,24
DatacenterBrokerSimple,56,11,25,0,25
DatacenterBrokerSimple,29,14,29,0,29
DatacenterBrokerSimple,0,0,29,0,29
DatacenterBrokerSimple,15,0,29,0,29
DatacenterBrokerSimple,17,2,33,0,33
DatacenterBrokerSimple,31,1,34,0,34
DatacenterBrokerSimple,91,1,34,0,34
DatacenterBrokerSimple,88,13,36,0,36
DatacenterBrokerSimple,51,6,20,17,37
DatacenterBrokerSimple,83,8,21,17,38
DatacenterBrokerSimple,94,4,41,0,41
DatacenterBrokerSimple,4,4,48,0,48
DatacenterBrokerSimple,32,2,28,24,52
DatacenterBrokerSimple,45,0,25,30,55
DatacenterBrokerSimple,82,7,57,0,57
DatacenterBrokerSimple,37,7,57,0,57
DatacenterBrokerSimple,74,14,28,29,57
DatacenterBrokerSimple,96,6,21,37,58
DatacenterBrokerSimple,77,2,26,33,59
DatacenterBrokerSimple,30,0,30,30,59
DatacenterBrokerSimple,3,3,61,0,61
DatacenterBrokerSimple,47,2,30,33,63
DatacenterBrokerSimple,7,7,68,0,68
DatacenterBrokerSimple,27,12,76,0,76
DatacenterBrokerSimple,61,1,43,34,77
DatacenterBrokerSimple,90,0,23,55,78
DatacenterBrokerSimple,62,2,25,63,88
DatacenterBrokerSimple,60,0,25,78,104
DatacenterBrokerSimple,97,7,53,57,109
DatacenterBrokerSimple,92,2,26,88,114
DatacenterBrokerSimple,48,3,73,61,135
DatacenterBrokerSimple,18,3,74,61,135
DatacenterBrokerSimple,67,7,71,68,140
DatacenterBrokerSimple,87,12,66,76,142
DatacenterBrokerSimple,22,7,52,140,192
DatacenterBrokerSimple,33,3,86,135,222
DatacenterBrokerSimple,52,7,62,192,254
DatacenterBrokerSimple,63,3,61,222,283
DatacenterBrokerSimple,78,3,80,283,363
DatacenterBrokerSimple,40,10,408,0,408
DatacenterBrokerSimple,93,3,71,363,435
DatacenterBrokerPSO,18,6,19,0,19
DatacenterBrokerPSO,83,8,21,0,21
DatacenterBrokerPSO,2,14,22,0,22
DatacenterBrokerPSO,34,11,23,0,23
DatacenterBrokerPSO,40,11,24,0,24
DatacenterBrokerPSO,21,2,25,0,25
DatacenterBrokerPSO,86,0,27,0,27
DatacenterBrokerPSO,9,0,27,0,27
DatacenterBrokerPSO,29,2,32,0,32
DatacenterBrokerPSO,0,1,43,0,43
DatacenterBrokerPSO,27,1,44,0,44
DatacenterBrokerPSO,53,14,24,22,46
DatacenterBrokerPSO,31,14,25,22,47
DatacenterBrokerPSO,94,0,20,27,48
DatacenterBrokerPSO,56,11,25,23,48
DatacenterBrokerPSO,47,14,27,22,49
DatacenterBrokerPSO,10,12,51,0,51
DatacenterBrokerPSO,41,0,27,27,55
DatacenterBrokerPSO,7,4,56,0,56
DatacenterBrokerPSO,15,0,29,27,57
DatacenterBrokerPSO,4,12,61,0,61
DatacenterBrokerPSO,26,7,67,0,67
DatacenterBrokerPSO,75,14,22,46,68
DatacenterBrokerPSO,37,3,70,0,70
DatacenterBrokerPSO,82,14,25,47,72
DatacenterBrokerPSO,65,14,25,50,75
DatacenterBrokerPSO,77,0,22,57,79
DatacenterBrokerPSO,45,0,25,55,80
DatacenterBrokerPSO,17,0,28,57,85
DatacenterBrokerPSO,88,14,26,69,95
DatacenterBrokerPSO,80,14,24,75,98
DatacenterBrokerPSO,24,0,21,81,102
DatacenterBrokerPSO,14,12,55,51,106
DatacenterBrokerPSO,85,0,23,85,108
DatacenterBrokerPSO,11,4,53,56,109
DatacenterBrokerPSO,90,14,25,99,124
DatacenterBrokerPSO,39,7,58,67,125
DatacenterBrokerPSO,28,0,27,102,129
DatacenterBrokerPSO,96,7,65,67,132
DatacenterBrokerPSO,87,0,26,108,134
DatacenterBrokerPSO,8,5,147,0,147
DatacenterBrokerPSO,91,14,25,124,149
DatacenterBrokerPSO,42,0,25,130,154
DatacenterBrokerPSO,43,0,26,134,160
DatacenterBrokerPSO,48,0,25,154,179
DatacenterBrokerPSO,97,7,52,133,185
DatacenterBrokerPSO,49,0,30,160,190
DatacenterBrokerPSO,61,7,71,125,196
DatacenterBrokerPSO,67,0,29,179,208
DatacenterBrokerPSO,74,0,26,190,215
DatacenterBrokerPSO,84,0,30,208,238
DatacenterBrokerPSO,98,0,28,216,244
DatacenterBrokerPSO,58,7,54,196,250
DatacenterBrokerPSO,19,0,24,244,268
DatacenterBrokerPSO,20,0,24,268,292
DatacenterBrokerPSO,92,7,53,250,303
DatacenterBrokerPSO,35,0,27,292,318
DatacenterBrokerPSO,46,0,27,318,346
DatacenterBrokerPSO,55,0,29,346,374
DatacenterBrokerPSO,57,0,28,375,403
DatacenterBrokerPSO,59,0,23,403,426
DatacenterBrokerPSO,63,0,21,426,447
DatacenterBrokerPSO,69,0,22,447,469
DatacenterBrokerPSO,70,0,25,469,494
DatacenterBrokerPSO,71,0,25,494,519
DatacenterBrokerPSO,76,0,25,520,544
DatacenterBrokerPSO,78,0,27,544,571
DatacenterBrokerPSO,79,0,21,571,593
DatacenterBrokerPSO,81,0,21,593,614
DatacenterBrokerPSO,93,0,24,614,638
DatacenterBrokerPSO,99,0,23,638,660
DatacenterBrokerHeuristic,14,8,17,0,17
DatacenterBrokerHeuristic,31,6,18,0,18
DatacenterBrokerHeuristic,91,6,18,0,18
DatacenterBrokerHeuristic,40,8,21,0,21
DatacenterBrokerHeuristic,4,11,21,0,22
DatacenterBrokerHeuristic,3,2,24,0,24
DatacenterBrokerHeuristic,18,0,25,0,25
DatacenterBrokerHeuristic,41,0,27,0,28
DatacenterBrokerHeuristic,45,14,28,0,28
DatacenterBrokerHeuristic,56,9,29,0,29
DatacenterBrokerHeuristic,29,14,29,0,29
DatacenterBrokerHeuristic,86,14,29,0,29
DatacenterBrokerHeuristic,8,1,33,0,33
DatacenterBrokerHeuristic,82,13,35,0,35
DatacenterBrokerHeuristic,96,8,21,21,42
DatacenterBrokerHeuristic,0,1,43,0,43
DatacenterBrokerHeuristic,27,13,45,0,45
DatacenterBrokerHeuristic,21,0,21,25,46
DatacenterBrokerHeuristic,10,2,24,24,48
DatacenterBrokerHeuristic,32,0,24,28,51
DatacenterBrokerHeuristic,80,9,23,29,52
DatacenterBrokerHeuristic,20,2,28,24,52
DatacenterBrokerHeuristic,77,7,53,0,53
DatacenterBrokerHeuristic,39,14,26,30,55
DatacenterBrokerHeuristic,65,12,59,0,59
DatacenterBrokerHeuristic,42,7,61,0,61
