Cloudlet,Pes,Lenght
0,4,6489
1,4,8815
2,5,6466
3,2,8430
4,4,8918
5,2,6151
6,4,8696
7,4,6848
8,5,7287
9,2,8726
10,6,6913
11,4,8387
12,6,8323
13,3,8576
14,3,8194
15,3,8456
16,1,8411
17,2,7918
18,5,6838
19,4,7259
20,6,8586
21,3,6739
22,5,8688
23,1,8833
24,6,8437
25,6,6714
26,4,8442
27,6,8626
28,3,6556
29,3,7304
30,3,8354
31,3,8542
32,5,6434
33,5,6736
34,6,7596
35,5,8610
36,5,6722
37,6,8524
38,2,8982
39,6,7322
40,4,6915
41,1,8985
42,5,8675
43,6,7194
44,1,8086
45,2,7093
46,4,6338
47,1,6907
48,4,6688
49,1,6271
50,4,8715
51,2,6474
52,2,6257
53,3,8041
54,6,7002
55,2,8886
56,1,7016
57,4,8386
58,4,6313
59,5,7101
60,5,6133
61,4,7205
62,2,8248
63,6,7387
64,3,8479
65,5,7738
66,3,6046
67,4,6936
68,3,7650
69,2,8075
70,2,6021
71,3,7566
72,5,8894
73,1,8477
74,5,8952
75,1,7436
76,1,6655
77,6,7492
78,3,7011
79,3,6050
80,1,6623
81,1,6959
82,1,6707
83,4,8584
84,6,7920
85,3,6078
86,2,8471
87,6,6959
88,1,8172
89,3,6972
90,5,8447
91,4,8735
92,5,8739
93,2,7291
94,4,7667
95,3,6188
96,4,8600
97,4,6891
98,3,6929
99,6,7223
100,3,7939
101,5,8805
102,2,7512
103,1,7271
104,1,6599
105,5,6798
106,4,6950
107,4,7661
108,4,6810
109,1,6146
110,2,7810
111,3,7946
112,6,7105
113,1,6192
114,6,6602
115,5,8739
116,2,6523
117,6,6037
118,5,6286
119,3,6333
120,1,8096
121,1,7390
122,4,6337
123,5,8970
124,1,8904
125,3,8035
126,4,6359
127,6,6397
128,4,6787
129,4,7345
130,3,8166
131,4,7844
132,5,7206
133,3,8125
134,6,7705
135,4,7940
136,4,7310
137,4,7014
138,1,7359
139,4,8955
140,4,7196
141,5,6782
142,2,7728
143,3,8552
144,2,6568
145,4,6800
146,4,6462
147,6,6913
148,2,7223
149,1,6770
150,5,7033
151,3,6209
152,3,8045
153,5,7382
154,5,8193
155,2,8188
156,1,7313
157,5,7801
158,6,7901
159,5,6208
160,5,8070
161,4,8396
162,3,6726
163,3,6007
164,4,7473
165,6,7062
166,4,7442
167,1,6561
168,4,6664
169,4,7594
170,6,7775
171,6,6144
172,3,6910
173,1,8607
174,1,8917
175,2,6221
176,3,8233
177,2,7152
178,2,6358
179,2,8799
180,5,8395
181,5,6917
182,1,6928
183,5,7538
184,5,7833
185,5,7425
186,6,6405
187,1,8009
188,6,8307
189,3,8251
190,4,8725
191,5,6731
192,2,8851
193,4,6913
194,2,6227
195,5,8690
196,1,7402
197,3,6478
198,4,6972
199,4,6893
200,1,6837
201,4,8063
202,5,7088
203,4,7545
204,1,8105
205,3,6578
206,1,7983
207,4,8210
208,1,7127
209,3,7507
210,3,7483
211,5,8834
212,2,6782
213,6,6928
214,5,7384
215,1,6459
216,6,8635
217,3,6480
218,5,7609
219,1,8075
220,4,7809
221,3,8414
222,6,7930
223,6,8948
224,1,7734
225,6,6491
226,1,8070
227,3,7523
228,5,6186
229,4,8539
230,1,7542
231,5,8290
232,2,6441
233,1,6670
234,1,6758
235,3,8247
236,1,6715
237,1,8920
238,6,8431
239,3,7303
240,2,7243
