Broker,Cloudlet ID,VM ID,Execution Time,Start Time,Finish Time,CPU Utilization Start,CPU Utilization Finish
DatacenterBrokerSimple,0,0,21,0,22,1,1
DatacenterBrokerSimple,1,1,37,0,37,1,1
DatacenterBrokerSimple,3,0,28,22,50,1,1
DatacenterBrokerSimple,4,1,38,38,75,1,1
DatacenterBrokerSimple,6,0,29,50,79,1,1
DatacenterBrokerSimple,7,1,29,75,104,1,1
DatacenterBrokerSimple,9,0,29,79,108,1,1
DatacenterBrokerSimple,10,1,29,104,134,1,1
DatacenterBrokerSimple,12,0,28,108,136,1,1
DatacenterBrokerSimple,2,2,155,0,155,1,1
DatacenterBrokerSimple,15,0,28,136,164,1,1
DatacenterBrokerSimple,13,1,36,134,170,1,1
DatacenterBrokerSimple,18,0,23,164,187,1,1
DatacenterBrokerSimple,16,1,36,170,206,1,1
DatacenterBrokerSimple,21,0,22,187,209,1,1
DatacenterBrokerSimple,19,1,31,206,237,1,1
DatacenterBrokerSimple,24,0,28,209,237,1,1
DatacenterBrokerSimple,27,0,29,237,266,1,1
DatacenterBrokerSimple,22,1,37,237,273,1,1
DatacenterBrokerSimple,30,0,28,266,294,1,1
DatacenterBrokerSimple,25,1,28,274,302,1,1
DatacenterBrokerSimple,5,2,147,155,302,1,1
DatacenterBrokerSimple,33,0,22,294,316,1,1
DatacenterBrokerSimple,28,1,28,302,330,1,1
DatacenterBrokerSimple,36,0,22,316,339,1,1
DatacenterBrokerSimple,39,0,24,339,363,1,1
DatacenterBrokerSimple,31,1,36,330,366,1,1
DatacenterBrokerSimple,42,0,29,363,392,1,1
DatacenterBrokerSimple,34,1,32,366,398,1,1
DatacenterBrokerSimple,45,0,24,392,416,1,1
DatacenterBrokerSimple,37,1,36,399,435,1,1
DatacenterBrokerSimple,48,0,22,416,438,1,1
DatacenterBrokerSimple,40,1,29,435,464,1,1
DatacenterBrokerSimple,8,2,174,302,477,1,1
DatacenterBrokerSimple,43,1,30,464,495,1,1
DatacenterBrokerSimple,46,1,27,495,522,1,1
DatacenterBrokerSimple,49,1,27,522,548,1,1
DatacenterBrokerSimple,11,2,200,477,677,1,1
DatacenterBrokerSimple,14,2,195,677,872,1,1
DatacenterBrokerSimple,17,2,189,872,1061,1,1
DatacenterBrokerSimple,20,2,205,1061,1265,1,1
DatacenterBrokerSimple,23,2,210,1265,1476,1,1
DatacenterBrokerSimple,26,2,201,1476,1677,1,1
DatacenterBrokerSimple,29,2,174,1677,1851,1,1
DatacenterBrokerSimple,32,2,153,1851,2004,1,1
DatacenterBrokerSimple,35,2,205,2005,2210,1,1
DatacenterBrokerSimple,38,2,214,2210,2424,1,1
DatacenterBrokerSimple,41,2,214,2424,2638,1,1
DatacenterBrokerSimple,44,2,193,2638,2831,1,1
DatacenterBrokerSimple,47,2,165,2831,2995,1,1
DatacenterBrokerPSO,0,0,21,0,22,1,1
DatacenterBrokerPSO,1,1,37,0,37,1,1
DatacenterBrokerPSO,2,0,22,22,43,1,1
DatacenterBrokerPSO,4,0,30,43,73,1,1
DatacenterBrokerPSO,3,1,36,38,73,1,1
DatacenterBrokerPSO,5,1,26,73,99,1,1
DatacenterBrokerPSO,6,0,29,73,102,1,1
DatacenterBrokerPSO,7,1,29,99,128,1,1
DatacenterBrokerPSO,13,0,29,102,131,1,1
DatacenterBrokerPSO,14,0,27,131,158,1,1
DatacenterBrokerPSO,8,1,31,128,159,1,1
DatacenterBrokerPSO,15,0,28,158,186,1,1
DatacenterBrokerPSO,9,1,37,159,196,1,1
DatacenterBrokerPSO,22,2,208,0,208,1,1
DatacenterBrokerPSO,17,0,26,186,213,1,1
DatacenterBrokerPSO,10,1,29,196,226,1,1
DatacenterBrokerPSO,18,0,23,213,235,1,1
DatacenterBrokerPSO,19,0,24,236,260,1,1
DatacenterBrokerPSO,11,1,35,226,261,1,1
DatacenterBrokerPSO,20,0,29,260,288,1,1
DatacenterBrokerPSO,12,1,35,261,297,1,1
DatacenterBrokerPSO,21,0,22,288,311,1,1
DatacenterBrokerPSO,16,1,36,297,332,1,1
DatacenterBrokerPSO,23,0,29,311,340,1,1
DatacenterBrokerPSO,25,0,22,340,363,1,1
DatacenterBrokerPSO,28,2,157,208,365,1,1
DatacenterBrokerPSO,24,1,36,332,368,1,1
DatacenterBrokerPSO,29,0,24,363,387,1,1
DatacenterBrokerPSO,26,1,36,368,404,1,1
DatacenterBrokerPSO,30,0,28,387,415,1,1
DatacenterBrokerPSO,33,0,22,415,438,1,1
DatacenterBrokerPSO,27,1,37,404,441,1,1
DatacenterBrokerPSO,34,0,25,438,463,1,1
DatacenterBrokerPSO,31,1,36,441,477,1,1
DatacenterBrokerPSO,35,0,29,463,492,1,1
DatacenterBrokerPSO,39,1,31,477,508,1,1
DatacenterBrokerPSO,36,0,22,492,514,1,1
DatacenterBrokerPSO,32,2,154,365,519,1,1
DatacenterBrokerPSO,37,0,28,514,543,1,1
DatacenterBrokerPSO,41,1,38,508,546,1,1
DatacenterBrokerPSO,38,0,30,543,573,1,1
DatacenterBrokerPSO,42,1,37,546,583,1,1
DatacenterBrokerPSO,40,0,23,573,596,1,1
DatacenterBrokerPSO,45,1,30,583,613,1,1
DatacenterBrokerPSO,43,0,24,596,620,1,1
DatacenterBrokerPSO,46,1,27,613,640,1,1
DatacenterBrokerPSO,44,0,27,620,647,1,1
DatacenterBrokerPSO,48,1,28,640,668,1,1
DatacenterBrokerPSO,49,2,150,519,669,1,1
DatacenterBrokerPSO,47,0,23,647,670,1,1
DatacenterBrokerHeuristic,5,1,26,0,26,1,1
DatacenterBrokerHeuristic,3,0,28,0,28,1,1
DatacenterBrokerHeuristic,7,0,23,28,51,1,1
DatacenterBrokerHeuristic,6,1,37,26,63,1,1
DatacenterBrokerHeuristic,8,0,24,51,75,1,1
DatacenterBrokerHeuristic,15,1,36,63,99,1,1
DatacenterBrokerHeuristic,9,0,29,75,104,1,1
DatacenterBrokerHeuristic,11,0,28,105,132,1,1
DatacenterBrokerHeuristic,17,1,33,99,132,1,1
DatacenterBrokerHeuristic,0,2,155,0,155,1,1
DatacenterBrokerHeuristic,12,0,28,133,160,1,1
DatacenterBrokerHeuristic,20,1,36,133,169,1,1
DatacenterBrokerHeuristic,16,0,28,160,188,1,1
DatacenterBrokerHeuristic,30,1,35,169,204,1,1
DatacenterBrokerHeuristic,18,0,23,188,211,1,1
DatacenterBrokerHeuristic,32,1,27,204,232,1,1
DatacenterBrokerHeuristic,19,0,24,211,235,1,1
DatacenterBrokerHeuristic,21,0,22,235,258,1,1
DatacenterBrokerHeuristic,38,1,38,232,270,1,1
DatacenterBrokerHeuristic,22,0,29,258,287,1,1
DatacenterBrokerHeuristic,39,1,31,270,301,1,1
DatacenterBrokerHeuristic,23,0,29,287,316,1,1
DatacenterBrokerHeuristic,43,1,30,301,331,1,1
DatacenterBrokerHeuristic,24,0,28,316,344,1,1
DatacenterBrokerHeuristic,44,1,34,332,366,1,1
DatacenterBrokerHeuristic,1,2,211,155,366,1,1
DatacenterBrokerHeuristic,25,0,22,345,367,1,1
DatacenterBrokerHeuristic,26,0,28,367,395,1,1
DatacenterBrokerHeuristic,45,1,30,366,396,1,1
DatacenterBrokerHeuristic,27,0,29,395,424,1,1
DatacenterBrokerHeuristic,29,0,24,424,448,1,1
DatacenterBrokerHeuristic,33,0,22,448,471,1,1
DatacenterBrokerHeuristic,36,0,22,471,493,1,1
DatacenterBrokerHeuristic,40,0,23,493,516,1,1
DatacenterBrokerHeuristic,2,2,154,366,521,1,1
DatacenterBrokerHeuristic,42,0,29,516,545,1,1
DatacenterBrokerHeuristic,47,0,23,545,568,1,1
DatacenterBrokerHeuristic,48,0,22,568,591,1,1
DatacenterBrokerHeuristic,4,2,213,521,733,1,1
DatacenterBrokerHeuristic,10,2,165,734,898,1,1
DatacenterBrokerHeuristic,13,2,204,898,1103,1,1
DatacenterBrokerHeuristic,14,2,195,1103,1298,1,1
DatacenterBrokerHeuristic,28,2,156,1298,1454,1,1
DatacenterBrokerHeuristic,31,2,203,1454,1658,1,1
DatacenterBrokerHeuristic,34,2,181,1658,1839,1,1
DatacenterBrokerHeuristic,35,2,205,1839,2044,1,1
DatacenterBrokerHeuristic,37,2,203,2044,2247,1,1
DatacenterBrokerHeuristic,41,2,214,2247,2461,1,1
DatacenterBrokerHeuristic,46,2,151,2462,2613,1,1
DatacenterBrokerHeuristic,49,2,149,2613,2762,1,1
