Vm,Pes,Mips
0,7,302.0
1,11,237.0
2,12,42.0
3,9,256.0
4,7,379.0
5,12,51.0
6,7,151.0
7,8,396.0
8,6,360.0
9,11,384.0
10,8,389.0
11,7,221.0
12,11,391.0
13,8,312.0
14,7,250.0
15,9,20.0
16,6,37.0
17,9,251.0
18,7,119.0
19,12,338.0
20,9,400.0
21,11,278.0
22,7,52.0
23,9,169.0
24,10,205.0
25,6,34.0
26,12,143.0
27,12,341.0
28,10,32.0
29,12,168.0
30,6,45.0
31,9,293.0
32,10,286.0
33,12,51.0
34,8,213.0
35,10,200.0
36,8,135.0
37,11,126.0
38,6,143.0
39,9,353.0
40,10,314.0
41,8,301.0
42,7,364.0
43,8,86.0
44,11,328.0
45,8,106.0
46,7,154.0
47,11,321.0
48,7,18.0
49,7,41.0
50,11,152.0
51,8,134.0
52,10,340.0
53,11,276.0
54,8,90.0
55,10,65.0
56,7,45.0
57,11,86.0
58,8,215.0
59,8,264.0
60,10,157.0
61,7,393.0
62,10,95.0
63,6,389.0
